partiID	condiID	gestureSet	trial	block	rep	fNmb	gesture	result	recFNmb	recGest	t1st(ms)	tEnd(ms)
1	0	Half	0	0	0	1	Flat	correct	1	Flat	2201	2903
1	0	Half	1	0	0	3	Tip	correct	3	Tip	1644	2444
1	0	Half	2	0	0	1	Tip	correct	1	Tip	1037	1351
1	0	Half	3	0	0	1	Tip	correct	1	Tip	918	1243
1	0	Half	4	0	0	1	Tip	correct	1	Tip	896	1251
1	0	Half	5	0	0	3	Tip	correct	3	Tip	982	1313
1	0	Half	6	0	0	1	Flat	error			1099	0
1	0	Half	7	0	0	1	Flat	correct	1	Flat	1070	1303
1	0	Half	8	0	0	3	Tip	correct	3	Tip	936	1251
1	0	Half	9	0	0	1	Flat	correct	1	Flat	1010	1317
1	0	Half	10	0	0	3	Tip	correct	3	Tip	977	1324
1	0	Half	11	0	0	1	Tip	correct	1	Tip	862	1080
1	0	Half	0	1	0	1	Flat	correct	1	Flat	888	1178
1	0	Half	1	1	0	3	Tip	correct	3	Tip	886	1194
1	0	Half	2	1	0	1	Tip	correct	1	Tip	884	1159
1	0	Half	3	1	0	1	Tip	correct	1	Tip	799	1049
1	0	Half	4	1	0	1	Tip	correct	1	Tip	983	1217
1	0	Half	5	1	0	3	Tip	correct	3	Tip	1109	1488
1	0	Half	6	1	0	1	Flat	correct	1	Flat	1286	1641
1	0	Half	7	1	0	1	Flat	correct	1	Flat	1098	1446
1	0	Half	8	1	0	3	Tip	correct	3	Tip	1108	1383
1	0	Half	9	1	0	1	Flat	error			951	0
1	0	Half	10	1	0	3	Tip	correct	3	Tip	1021	1336
1	0	Half	11	1	0	1	Tip	correct	1	Tip	833	1076
1	0	Half	0	2	0	1	Flat	error			837	0
1	0	Half	1	2	0	3	Tip	correct	3	Tip	908	1199
1	0	Half	2	2	0	1	Tip	correct	1	Tip	783	1009
1	0	Half	3	2	0	1	Tip	correct	1	Tip	906	1180
1	0	Half	4	2	0	1	Tip	correct	1	Tip	798	806
1	0	Half	5	2	0	3	Tip	correct	3	Tip	779	1006
1	0	Half	6	2	0	1	Flat	error			1213	0
1	0	Half	7	2	0	1	Flat	correct	1	Flat	912	1162
1	0	Half	8	2	0	3	Tip	correct	3	Tip	781	1040
1	0	Half	9	2	0	1	Flat	error			986	0
1	0	Half	10	2	0	3	Tip	error			924	0
1	0	Half	11	2	0	1	Tip	correct	1	Tip	783	1042
1	0	Half	0	3	0	1	Flat	error			1044	0
1	0	Half	1	3	0	3	Tip	correct	3	Tip	845	1160
1	0	Half	2	3	0	1	Tip	correct	1	Tip	771	1014
1	0	Half	3	3	0	1	Tip	correct	1	Tip	746	969
1	0	Half	4	3	0	1	Tip	correct	1	Tip	719	961
1	0	Half	5	3	0	3	Tip	correct	3	Tip	862	1162
1	0	Half	6	3	0	1	Flat	correct	1	Flat	846	1121
1	0	Half	7	3	0	1	Flat	correct	1	Flat	1131	1389
1	0	Half	8	3	0	3	Tip	correct	3	Tip	859	1175
1	0	Half	9	3	0	1	Flat	correct	1	Flat	953	1212
1	0	Half	10	3	0	3	Tip	correct	3	Tip	720	973
1	0	Half	11	3	0	1	Tip	correct	1	Tip	707	958
1	0	Half	0	4	0	1	Flat	correct	1	Flat	793	1051
1	0	Half	1	4	0	3	Tip	correct	3	Tip	835	1100
1	0	Half	2	4	0	1	Tip	correct	1	Tip	740	958
1	0	Half	3	4	0	1	Tip	correct	1	Tip	846	1048
1	0	Half	4	4	0	1	Tip	correct	1	Tip	618	803
1	0	Half	5	4	0	3	Tip	correct	3	Tip	840	1123
1	0	Half	6	4	0	1	Flat	error			811	0
1	0	Half	7	4	0	1	Flat	correct	1	Flat	787	1013
1	0	Half	8	4	0	3	Tip	error			814	0
1	0	Half	9	4	0	1	Flat	correct	1	Flat	1039	1256
1	0	Half	10	4	0	3	Tip	correct	3	Tip	949	1305
1	0	Half	11	4	0	1	Tip	correct	1	Tip	861	1087
1	1	Half	0	0	0	2	Tip	correct	2	Tip	962	1171
